alpha,public,urban,healthcentre,primary,secondary,tertiary,logVisits,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines
0.930717,-0.596486,0.267912,0.914608,0.700547,0.92054,0.874131,-0.165492,0.647405,0.238103,0.432828,0.543444,-0.285996,0.0747402,0.0300517
0.890031,-0.407965,0.358909,0.36934,0.475028,0.722757,0.522529,-0.284594,0.683709,0.522199,0.838679,0.462032,-0.225293,0.0401551,0.00205033
0.776927,-0.298715,0.089151,0.993285,0.729572,1.41342,1.2408,-0.268761,0.75459,0.47571,0.498555,0.296117,-0.437046,0.13135,0.0189424
0.940264,-0.455718,0.25972,0.67507,0.658697,1.20487,1.36031,-0.321256,0.665353,1.04386,0.386958,0.351653,-0.689903,-0.237945,-0.234656
1.14045,-0.502202,0.310145,0.394071,0.443893,0.971136,0.214686,-0.205438,0.667761,0.262482,0.483178,0.147983,-0.492151,-0.107222,0.231463
1.56086,-0.671943,-0.149126,0.559847,0.627273,0.91006,1.05006,-0.271779,0.700135,0.477253,0.44423,0.0690938,-0.523444,-0.212009,-0.494114
1.11997,-0.468295,0.117061,0.738263,0.774716,1.37662,1.18802,-0.311559,0.630273,0.287161,0.0937288,-0.0677077,-0.508085,-0.0118044,-0.180881
0.989239,-0.523223,0.469133,0.565554,0.472954,1.22143,0.991448,-0.290693,0.681455,0.360523,0.537115,0.00476883,-0.623216,-0.171611,-0.372823
0.878192,-0.409176,0.680761,0.423145,0.347077,0.989756,0.676932,-0.265168,0.732861,0.124915,0.140511,0.185927,-0.189592,0.214194,-0.107548
0.825646,-0.474818,0.259806,0.673255,0.887377,1.08252,0.91455,-0.232967,0.736945,0.350199,0.410889,0.419822,-0.381249,0.140487,-0.0371336
0.902092,-0.492946,0.615449,0.38228,0.377992,0.671899,0.90844,-0.345508,0.708079,0.266363,0.397906,0.170681,-0.263713,0.0624734,-0.0515779
0.916154,-0.577558,0.378491,0.567337,0.643268,0.986758,0.817422,-0.227334,0.70166,0.55116,0.459282,0.00834559,-0.397746,0.0571056,-0.133005
0.96971,-0.481353,0.24528,0.833083,0.669383,0.883679,1.15278,-0.240516,0.677363,0.153334,0.24862,0.243405,-0.0979501,-0.159945,-0.149009
1.53587,-0.788893,0.103476,0.605899,0.371505,0.886028,0.707523,-0.239179,0.686823,0.496989,0.442827,0.157055,-0.445009,-0.071422,-0.0135035
0.492651,-0.322047,0.558325,1.14513,1.04939,1.16101,0.978649,-0.284658,0.652723,0.235948,0.279539,-0.0629521,-0.226495,0.0396176,-0.129043
0.938973,-0.412387,0.41713,0.738047,0.550168,0.776077,0.444099,-0.227264,0.702408,0.349545,0.196719,0.248545,-0.316347,-0.182663,-0.230343
0.79491,-0.359418,0.121361,1.03642,0.925473,1.19136,0.766103,-0.268551,0.684348,0.153544,0.452308,0.176026,-0.395961,-0.233158,0.137603
1.31254,-0.576395,0.265846,0.558997,0.490697,0.583687,0.690884,-0.280778,0.712131,0.268302,0.407619,0.109373,-0.51638,-0.0166932,-0.0759569
1.11703,-0.712976,0.44168,0.588578,0.472609,0.900118,0.613902,-0.240192,0.758611,0.38378,0.363241,0.220442,-0.635779,0.0711105,-0.0528247
1.42408,-0.785646,0.0205264,0.17801,0.388338,0.608655,0.465863,-0.247544,0.742788,0.327576,0.653168,0.351207,-0.198324,0.216071,0.115938
2.14379,-0.656812,0.166068,0.0457315,0.0808364,0.302887,0.37702,-0.236852,0.65501,0.765004,0.39861,-0.261983,-0.924697,-0.459626,-0.750228
0.789414,-0.397491,0.432998,0.611832,0.339304,0.846467,0.217196,-0.279181,0.693474,0.294462,0.790759,0.212084,-0.382756,0.109375,0.162983
1.00682,-0.397723,0.0172669,0.736403,0.660504,1.27596,0.863241,-0.230793,0.802461,0.259926,0.309525,0.16626,-0.333401,0.00640781,-0.0723342
0.617125,-0.387249,0.418966,0.71026,0.853911,1.06546,0.820751,-0.326101,0.744578,0.306071,0.310845,0.313777,0.0691266,0.283334,-0.126371
0.627332,-0.354677,0.35109,0.99615,1.08416,1.30238,1.14243,-0.249785,0.752358,0.13726,-0.0118303,0.00750844,-0.145682,0.131909,-0.0893618
1.31257,-0.53652,0.202779,0.898397,0.916533,1.02241,0.374547,-0.255751,0.828295,0.600573,0.203692,0.327952,-0.783523,-0.283436,-0.0935015
1.24538,-0.483454,0.426614,0.269194,-0.22891,0.425601,0.142149,-0.18809,0.754328,0.334033,0.74756,0.154716,-0.00276549,0.227852,0.266366
0.604913,-0.510061,0.302559,0.960967,0.605323,1.03661,0.695664,-0.182356,0.717337,0.55018,0.670879,0.697381,-0.0919534,0.25,0.203717
1.06825,-0.71692,0.223861,1.12948,1.00215,1.23262,0.815704,-0.193505,0.705392,0.131545,0.238613,-0.0932478,-0.359598,0.0788224,-0.163429
0.783328,-0.565257,0.229154,1.03717,0.864987,1.33574,1.34745,-0.281603,0.732993,0.321611,0.360517,0.180678,-0.369185,0.180461,-0.185669
1.39198,-0.698684,0.218173,0.69653,0.661965,0.860257,0.402572,-0.256016,0.753681,0.208202,0.0930759,-0.0856081,-0.275998,0.0119575,-0.129714
1.2815,-0.919596,0.434763,0.890183,0.648631,0.674387,0.757361,-0.204368,0.832422,0.0421443,-0.0180918,0.0637248,-0.0107209,0.0640024,-0.0191463
1.17211,-0.588836,0.0281019,0.69909,0.811622,1.31584,0.917754,-0.260428,0.696632,0.24676,0.372155,0.152463,-0.571273,-0.260864,-0.273293
0.944829,-0.736514,0.0555693,0.445385,0.312792,0.747271,0.99015,-0.292507,0.68448,0.61091,1.29039,0.99991,-0.183729,0.664653,0.34425
0.873876,-0.642152,0.142996,1.13282,0.690111,1.15217,1.21839,-0.24962,0.701528,0.372321,0.224405,0.300018,-0.704114,0.185936,-0.108969
1.17677,-0.664106,0.221963,0.896432,0.697466,1.22158,0.94716,-0.216307,0.719905,0.210382,0.527626,0.0553012,-0.519643,-0.106078,-0.150762
