alpha,public,urban,healthcentre,primary,secondary,tertiary,logVisits,logVisitsPP_TB,log_ID_p_bldgspace,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines
2.08898,-0.227222,0.0933429,-0.0308568,0.27037,0.209736,0.455575,-0.0875044,-0.476027,0.153332,0.60408,0.17714,-0.0235928,0.0571113,-0.12849,0.166231,0.0749875
2.18747,-0.577977,0.200392,0.108985,0.314253,0.414033,0.313173,-0.174081,-0.238685,0.107985,0.568349,0.0776231,0.0675879,-0.118475,-0.112253,0.123471,0.0528278
1.98135,-0.280385,0.141622,0.170565,0.360845,0.385878,0.374635,-0.170632,-0.267573,0.053768,0.559218,0.13852,0.0200103,0.0420706,-0.091379,0.167137,-0.044738
1.44563,-0.191032,0.0145139,0.634197,0.753583,0.928836,0.677217,-0.199513,-0.0996889,0.143564,0.590343,0.43471,0.186388,0.35403,-0.362894,0.210107,0.181349
2.04491,-0.428781,0.255303,0.37131,0.558999,0.765328,0.173164,-0.131349,-0.337865,0.173156,0.626098,0.276912,-0.331068,0.149838,-0.521832,-0.0723401,-0.0876856
2.16019,-0.328188,0.0321913,-0.000795199,0.351229,0.604753,0.0245328,-0.166083,-0.331166,0.177064,0.576849,0.27034,-0.226177,0.0361135,-0.422615,-0.125237,-0.0329689
2.2125,-0.291283,-0.0547214,0.0668484,0.313791,0.346887,0.0269838,-0.0704415,-0.387502,0.18399,0.477103,0.250718,-0.0600182,0.220823,-0.389753,0.0858493,0.0893765
2.15781,-0.309943,0.0216999,-0.0532521,0.333783,0.627633,0.063296,-0.181161,-0.332012,0.220253,0.629107,0.223091,0.0627236,0.0929597,-0.249613,0.0158186,0.0606599
1.81171,-0.490466,-0.126635,0.6149,0.959552,0.814125,0.451056,-0.157345,-0.20255,0.147871,0.657834,0.252165,-0.195028,0.141665,0.0100683,0.0379932,-0.0645374
1.69902,-0.441322,0.158442,0.389632,0.719774,0.81445,0.429323,-0.095745,-0.367369,0.126655,0.642243,0.262551,-0.0703242,0.140099,-0.0303147,0.22091,0.465709
2.10934,-0.209837,-0.190725,0.177104,0.60065,0.766391,0.228841,-0.142704,-0.285573,0.232931,0.593265,0.0678808,0.0334778,0.00274291,-0.166876,0.0747188,0.0717469
2.00989,-0.376828,0.193592,-0.0251198,0.234684,0.441972,-0.0471328,-0.218532,-0.359176,0.166969,0.563807,0.0983811,0.15608,0.0319927,-0.0349633,0.1297,-0.0546067
2.00955,-0.379114,0.0739648,0.280522,0.374576,0.371913,0.221158,-0.0737091,-0.243303,0.0425466,0.570431,0.0793726,0.0134876,0.0218796,-0.0727152,-0.0633394,0.0616655
2.37114,-0.496016,-0.159232,0.0524847,0.413054,0.506369,0.413849,-0.179794,-0.276318,0.157611,0.577412,0.145144,0.0265284,-0.00132146,-0.207956,0.163586,-0.127902
1.86467,-0.23049,0.245031,0.00114103,0.374524,0.706239,0.344316,-0.261769,-0.178685,0.0611346,0.601817,0.112978,0.0679471,-0.00506232,-0.270506,0.00820255,0.00535864
2.43194,-0.69023,-0.108506,0.254144,0.282396,0.655552,0.625623,-0.183003,-0.276677,0.135422,0.613387,0.282565,-0.230988,-0.0987913,-0.390121,-0.0269782,-0.0902552
2.63095,-0.568867,-0.181142,-0.269473,0.309981,0.309723,0.298474,-0.112937,-0.34032,0.212906,0.600679,0.213406,-0.0835129,0.163371,-0.328211,0.205528,0.136718
1.98587,-0.455895,-0.0199364,0.22844,0.525339,0.713885,0.111346,-0.151004,-0.240126,0.234902,0.621898,0.295267,0.227073,0.466985,-0.242714,0.121401,0.207001
1.98119,-0.489337,0.124714,0.225457,0.495561,0.726814,0.373622,-0.186359,-0.250087,0.129576,0.513776,0.0197945,0.012734,0.0166757,0.0157195,0.00142645,0.0351811
1.77819,-0.212794,-0.103361,0.511662,0.94368,0.823557,0.921981,-0.167575,-0.255392,0.236034,0.575985,0.248546,-0.121599,0.119457,-0.371721,-0.231418,0.178535
2.02754,-0.389923,-0.0575587,0.123629,0.664305,0.940564,0.62424,-0.169059,-0.120962,0.206219,0.547877,0.218786,0.0398858,0.19138,-0.276907,0.13391,-0.20054
1.68192,-0.256697,0.135837,0.292156,0.746924,0.584284,0.533036,-0.176505,-0.262658,0.184609,0.514313,0.116593,0.107938,0.21779,-0.0289209,0.00332233,0.101255
2.29165,-0.440758,-0.0504632,0.134863,0.344878,0.358432,0.286527,-0.145169,-0.275012,0.150666,0.568099,0.135795,-0.107224,0.095063,-0.202311,0.0504843,-0.088965
1.92027,-0.380035,0.0967857,0.504262,0.570984,0.955857,0.489865,-0.20535,-0.184916,0.12396,0.474494,0.117708,-0.158829,0.0676765,-0.407439,0.0979572,-0.113253
2.1529,-0.411767,0.260301,-0.153631,0.0638045,0.251474,0.0617903,-0.122448,-0.352816,0.112674,0.520703,0.139761,0.0113993,0.102677,-0.352201,0.202871,0.12717
1.799,-0.494521,-0.0935079,0.465775,0.820733,1.01373,0.708497,-0.210509,-0.210992,0.164504,0.608043,0.24544,0.0373042,0.246476,-0.49353,0.336535,0.14913
1.9952,-0.0801976,0.0813298,0.240679,0.334164,0.655113,0.232881,-0.160281,-0.436647,0.173217,0.527118,0.217849,-0.268616,0.0340273,-0.381997,-0.00934933,0.0611303
2.22893,-0.485248,-0.00932454,-0.0461597,0.266857,0.527387,0.187923,-0.219891,-0.33777,0.150403,0.544561,0.169238,0.154344,0.00544057,-0.110959,0.0496326,-0.0346969
1.40338,-0.199908,0.19556,0.356862,0.474964,0.872453,0.278723,-0.150052,-0.243866,0.161055,0.558386,0.321379,0.0699485,0.656276,-0.168509,0.537977,0.0965526
1.8754,-0.416439,0.0101968,0.255149,1.01324,0.849545,1.11305,-0.341329,0.106445,0.184451,0.720435,0.162276,0.340433,0.206869,-0.32579,-0.0321161,-0.0991593
1.89962,-0.275747,0.303234,0.086297,0.351065,0.39379,0.197018,-0.15941,-0.224986,0.101803,0.53506,0.119791,-0.0355857,0.00471804,-0.152951,0.082538,0.0692092
2.26722,-0.456148,0.0861285,-0.173924,0.263427,0.0750749,-0.171551,-0.162677,-0.287352,0.188773,0.582587,0.149887,-0.0431179,0.266227,-0.0511511,0.064845,0.248858
2.09066,-0.222487,-0.217574,0.45871,0.663786,0.62619,0.654094,-0.116955,-0.235144,0.207626,0.529327,0.318766,-0.118358,0.113587,-0.39838,-0.0475016,0.125323
2.13305,-0.301227,0.0773753,0.0834961,0.172365,0.708239,0.452941,-0.180926,-0.187552,0.13181,0.584861,0.200162,-0.0694842,0.151883,-0.429382,0.0290944,-0.111669
2.19034,-0.556906,0.145783,0.153554,0.390681,0.434112,0.398674,-0.126953,-0.254338,0.146741,0.625412,0.403692,-0.0310817,0.0502405,-0.344014,0.109833,-0.0711399
2.03957,-0.279655,-0.152251,0.239883,0.575703,0.388806,0.397961,-0.0667277,-0.274707,0.173976,0.480596,0.224016,0.0336578,0.49607,-0.422621,0.113453,0.118119
2.05152,-0.649052,0.0712669,0.186124,0.436748,0.637277,0.431113,-0.129508,-0.323855,0.21264,0.579549,0.220572,0.238036,0.278488,-0.267619,0.338798,0.232202
2.28926,-0.297131,-0.234162,0.0541944,0.115101,0.587686,-0.0619098,-0.0980428,-0.347026,0.185681,0.560761,0.239741,-0.118587,0.298319,-0.396722,0.0513626,0.186037
1.88955,-0.488081,-0.0435418,0.467715,0.846111,0.909748,0.745796,-0.238884,-0.195337,0.218596,0.544364,0.135751,-0.0195253,0.152961,-0.137721,0.0416628,-0.000324779
2.30503,-0.667034,0.0559576,0.135612,0.29058,0.388494,0.266715,-0.148471,-0.262079,0.124726,0.63292,0.00638807,0.00522749,0.000840212,-0.0054934,0.000734857,-0.0152751
2.01348,-0.428612,0.0820479,0.176142,0.394219,0.681043,0.334266,-0.202232,-0.146715,0.244862,0.667733,0.131515,0.025837,0.225816,-0.354793,0.167917,-0.101548
2.44513,-0.517773,-0.144222,-0.0895245,0.204304,0.235154,0.0273134,-0.0804328,-0.314279,0.160342,0.525526,0.212667,0.0978556,0.248011,-0.2217,0.135461,0.0720885
2.27533,-0.516934,0.00284651,0.265758,0.425489,0.493699,0.346818,-0.106047,-0.476069,0.111281,0.557581,0.0764466,-0.13987,-0.0513851,-0.110078,-0.0527226,0.0105639
2.13385,-0.444203,0.0184837,0.313551,0.523173,0.526917,0.00436997,-0.0899619,-0.278032,0.179049,0.543759,0.20156,-0.129749,0.168388,-0.342033,0.0881108,0.0410304
1.71645,-0.328433,-0.115184,0.462047,0.800283,0.781578,0.565511,-0.134641,-0.268755,0.147237,0.625351,0.241276,0.182841,0.248883,-0.161791,0.0914567,0.183469
2.18621,-0.523526,-0.0485086,0.157044,0.112969,0.480427,0.498242,-0.11506,-0.387045,0.143551,0.513949,0.233271,0.0114836,0.130358,-0.314763,0.122262,0.336979
2.02828,-0.279758,0.112909,0.04753,0.153008,0.406856,0.112798,-0.195568,-0.33225,0.134703,0.540785,0.0915575,-0.00796731,0.01018,-0.0811578,0.0755017,-0.00681109
2.17285,-0.229948,-0.116245,-0.130524,0.401511,0.327248,-0.226767,-0.109252,-0.293528,0.144187,0.540862,0.121761,0.129613,0.256328,-0.150222,0.0146853,0.0965571
2.23407,-0.465235,-0.0889209,0.23767,0.502138,0.628932,0.197397,-0.15901,-0.35442,0.178911,0.517724,0.317208,-0.111961,0.136459,-0.398845,-0.0350815,0.0444601
1.83972,-0.195101,0.0924893,0.17538,0.688105,0.511971,-0.022336,-0.109912,-0.247169,0.130487,0.612379,0.181826,0.176214,0.334279,-0.375653,-0.041324,0.178161
2.22126,-0.242697,-0.0617537,-0.114231,0.283954,0.223699,0.203113,-0.12623,-0.285629,0.222091,0.611764,0.128337,-0.0523242,0.259823,0.0150806,-0.00511164,0.0364017
2.23404,-0.30594,0.134924,-0.176087,0.360969,0.338697,-0.308618,-0.122835,-0.355749,0.212065,0.604574,0.113036,-0.0303793,0.0944213,-0.0854767,-0.0461765,-0.0121626
2.07602,-0.363306,0.0321339,0.194191,0.422837,0.622466,0.113781,-0.111064,-0.165117,0.115844,0.609917,0.243804,0.114184,0.148411,-0.348201,-0.0399068,0.0154003
2.49493,-0.658598,0.139814,0.0942009,0.376643,0.544546,0.0652098,-0.0717521,-0.267741,0.133028,0.529075,0.223409,-0.213789,-0.0416875,-0.478864,-0.0764987,-0.0206492
2.01247,-0.459788,0.036777,0.266731,0.406273,0.513816,0.223317,-0.104688,-0.269143,0.233527,0.536385,0.767433,-0.0405109,0.33258,-0.475364,0.154119,0.219848
2.1915,-0.416159,0.0318083,0.0976304,0.528116,0.536184,-0.138364,-0.0858879,-0.339702,0.0931643,0.572214,0.139502,-0.124688,0.00758802,-0.219624,0.0721213,0.256593
2.26246,-0.3664,0.183269,-0.280896,0.402902,0.454637,-0.258298,-0.104197,-0.380034,0.164407,0.628252,0.122008,-0.0209686,0.0390273,-0.191512,-0.1389,0.0146534
2.10039,-0.337494,-0.0824281,0.191534,0.561272,0.673427,0.287442,-0.18366,-0.234956,0.258569,0.504365,0.259397,-0.260172,0.418799,-0.444722,-0.0307989,0.113966
1.7325,-0.214175,0.0400083,0.22786,0.843018,1.05321,0.466003,-0.211961,-0.275552,0.251979,0.575312,0.0861759,-0.0414694,0.151461,-0.131242,0.00581006,0.104648
2.33157,-0.537723,0.101859,0.142076,0.196095,0.340962,-0.135462,-0.0968807,-0.202929,0.0692328,0.624855,0.0379319,-0.0665233,0.00968812,-0.00964387,-0.0156177,-0.0148245
1.88116,-0.26309,0.0386682,0.422414,0.696062,0.818733,0.244252,-0.20743,-0.245235,0.24209,0.528149,0.134734,-0.168486,0.118542,-0.306772,0.119395,-0.0785237
