alpha,public,urban,healthcentre,primary,secondary,tertiary,logVisits,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines,sigma_f,sigma_v,op_adherencesupportvisit,op_coughtriage,op_diagnosticvisit,op_follow-upvisit,op_monitoringvisit,op_screeningvisit,op_screeningvisit_mch,op_treatmentvisit,op_treatmentvisit_dot,op_treatmentvisit_ltbi,op_treatmentvisit_mdr,op_vaccinations,op_visitforcollectingmedicine,op_visitforinjection
1.70024,-0.369681,0.109268,0.335222,0.47062,0.885079,0.979106,-0.243107,0.377044,0.0959345,0.0887454,0.121277,-0.118891,0.203421,-0.149688,0.50048,0.122225,-0.0137829,-0.26433,0.156033,0.0955284,-0.0210299,0.0396081,0.100465,0.022686,0.0241576,0.102232,0.250732,-0.10773,-0.0637647,-0.0241578
1.75823,-0.2517,0.460367,0.0612433,0.237396,0.58396,0.153091,-0.250977,0.384245,0.11266,0.197762,0.221344,-0.165521,-0.0663413,-0.0153106,0.469411,0.135689,-0.13789,-0.249252,0.117083,-0.00905098,-0.0198317,0.0888319,-0.015619,-0.0597611,-0.0342969,0.0419838,0.101906,-0.111508,-0.200553,-0.24718
2.33271,-0.530236,0.23262,0.355941,0.494163,0.429236,0.873372,-0.184599,0.351002,0.329889,-0.172017,-0.288838,-0.567869,-0.189973,-0.45435,0.574275,0.162579,-0.144388,-0.285798,0.127977,-0.0633122,0.152203,-0.0138189,0.285018,-0.0101769,-0.0325933,0.0254134,0.0187695,-0.0970322,-0.235348,-0.179434
2.03471,-0.417855,0.395416,-0.162475,0.150719,0.451449,0.0627722,-0.153825,0.348676,0.321146,0.0763552,0.193138,-0.404184,-0.0614299,-0.346512,0.479937,0.181184,-0.139297,-0.184726,0.29378,0.329682,0.23608,0.161252,0.254563,0.0985384,0.08275,0.0933288,0.131673,0.0129217,-0.223736,0.100614
1.93419,-0.458071,0.168481,0.644722,0.150362,0.859405,0.507577,-0.148948,0.344986,0.336385,0.0323637,0.391174,-0.291113,0.18948,0.00927513,0.447052,0.181964,-0.0672537,-0.279302,0.106737,0.230024,0.0835373,-0.0275229,0.232737,-0.152679,-0.0606656,0.0943526,0.0102227,-0.204204,-0.191886,-0.208701
1.91606,-0.478955,0.13304,0.411761,0.240291,0.475927,0.43316,-0.114851,0.355566,0.178131,0.233083,0.34084,-0.238106,0.00350032,0.0574171,0.482921,0.0854342,-0.11089,-0.0664077,0.211337,0.0805773,0.0916829,0.107808,0.132219,-0.04974,0.0416054,0.0770683,-0.031118,-0.0633872,-0.0703398,0.0654543
2.11269,-0.376859,0.340703,0.153242,-0.0155527,0.327206,-0.0852643,-0.157742,0.35446,0.0794147,0.0103839,-0.00134953,-0.104381,0.0569918,-0.113897,0.515868,0.235699,-0.183983,-0.266247,0.280188,0.206488,0.154885,0.0643465,-0.00827966,0.0657107,0.00355783,0.185518,0.147743,-0.0998911,-0.376839,-0.28029
2.04155,-0.504047,0.242747,0.290327,0.210903,0.546699,0.106881,-0.165835,0.360771,0.154426,0.0989621,0.0454722,0.0213892,0.151675,-0.106124,0.455644,0.100293,-0.0763693,-0.19313,0.200033,-0.0425564,0.152112,0.0291897,0.119335,-0.0456745,-0.0807669,0.0745425,0.108356,-0.0462481,0.0409675,-0.152286
1.89612,-0.408829,0.169969,0.53795,0.182423,0.46622,0.198263,-0.122845,0.357552,0.164458,0.184013,0.31769,-0.261666,0.137379,0.0442271,0.490018,0.185837,-0.134893,-0.190253,0.179058,0.0390643,0.106073,0.0616889,-0.177588,-0.00482835,-0.0889556,0.0292065,0.316587,-0.0578708,-0.478122,0.00553364
1.94843,-0.308875,0.0652158,0.253912,0.277846,0.439502,0.456285,-0.165482,0.359384,0.0812189,0.207024,0.0984184,-0.169406,0.0292636,-0.23659,0.525745,0.183446,-0.0150883,-0.128624,0.159446,0.00727472,0.191526,0.0700976,0.279897,0.0257081,0.0428995,0.0813046,0.122335,-0.0684402,-0.332934,-0.127495
