alpha,public,urban,primary,secondary,tertiary,n_services,log_ID_p_bldgspace,logVisits,logVisitsPP_TB,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines
1.30226,-0.417482,0.434442,0.250787,0.246036,-0.379414,0.121339,-0.0361117,-0.220982,-0.389992,0.644504,0.395849,0.0603256,-0.0278807,-0.464862,-0.151595,0.284108
1.19775,-0.219331,0.0952605,0.0911824,0.54242,-0.0104624,0.226995,0.157834,-0.245471,-0.452434,0.69996,0.333148,-0.0638768,0.522001,-0.450682,0.319132,0.308212
1.18242,-0.336474,0.192929,0.213625,0.537846,0.458309,0.140457,-0.00699617,-0.247711,-0.436178,0.724832,0.171613,0.193058,0.206984,-0.412811,0.213774,0.213746
1.5806,-0.418481,0.171388,-0.0672555,0.104702,-0.6938,0.232068,0.107143,-0.161732,-0.466322,0.724341,0.261077,0.248738,0.068433,-0.181049,-0.171079,0.127941
1.39388,-0.454141,0.236707,0.3432,0.592447,0.0118241,0.194536,-0.0274739,-0.340814,-0.524042,0.607068,0.147524,0.100187,-0.0223222,-0.431463,-0.177613,0.073099
1.24527,-0.415911,0.287301,0.0512782,0.507633,0.285114,0.218485,0.0111407,-0.293091,-0.396213,0.642292,0.492343,0.0858496,0.405018,-0.574797,-0.142434,0.245263
1.11695,-0.194859,0.355288,0.332958,0.402205,0.534577,0.134956,0.112574,-0.291306,-0.37371,0.69927,0.404947,0.0719081,0.123236,-0.495402,-0.198651,-0.130949
1.47338,-0.429787,0.275128,0.124305,0.366885,-0.378978,0.135887,0.0855648,-0.11729,-0.553383,0.696532,0.277128,0.161999,0.0900683,-0.518887,-0.223616,-0.0355184
1.18275,-0.424836,0.306001,0.372162,0.45766,-0.160561,0.0846769,0.0300536,-0.161914,-0.608697,0.697378,0.248454,0.286915,-0.0221751,-0.465441,0.109035,0.102341
1.07419,-0.249232,0.258846,0.375398,0.541738,0.0380748,0.179241,0.0713321,-0.3384,-0.341614,0.735393,0.158966,0.293264,0.25501,-0.245591,-0.104698,0.061684
1.32636,-0.420543,0.202087,-0.0552234,0.334615,0.0180364,0.251285,0.0629936,-0.23025,-0.685196,0.69922,0.417891,0.147334,0.467561,-0.263,0.0856775,0.553743
1.20316,-0.355341,0.286396,0.196807,0.365692,0.0378054,0.195004,0.0253882,-0.286782,-0.455201,0.655023,0.124083,0.0693703,0.1326,-0.0755814,-0.00998851,0.139259
1.15276,-0.279129,0.293263,0.0641409,0.40654,-0.116438,0.0423769,-0.0216783,-0.172337,-0.526136,0.800621,0.0279266,0.034511,-0.0375944,-0.0391402,0.0204739,0.0253838
1.07937,-0.322108,0.379525,0.0836853,0.488811,0.062092,0.271007,0.0472946,-0.340321,-0.477929,0.788177,0.0482732,-0.0607341,0.0910593,-0.0679192,0.0341776,-0.00123166
1.03681,-0.316024,0.518545,0.0836786,0.749534,0.497195,0.285954,0.0335467,-0.409849,-0.423834,0.671387,0.0186759,-0.0152533,0.00867483,-0.0167689,0.0102136,0.00621968
